 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            5 ; Ny =            5 ; Nz =            5
 Element          20 ; Center Coordinates:   0.100000001      0.699999988      0.900000036    
  
 Scalar            1 ; Coordinates:   0.100000001      0.699999988      0.900000036    
 Scalar            2 ; Coordinates:    0.00000000      0.699999988       1.00000000    
 Scalar            3 ; Coordinates:    0.00000000      0.699999988      0.900000036    
 Scalar            4 ; Coordinates:   0.100000001      0.699999988       0.00000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.699999988      0.900000036    
 Vector            2 ; Coordinates:   0.200000003      0.699999988      0.900000036    
 Vector            3 ; Coordinates:   0.100000001      0.600000024      0.900000036    
 Vector            4 ; Coordinates:   0.100000001      0.800000012      0.900000036    
 Vector            5 ; Coordinates:   0.100000001      0.699999988      0.800000012    
 Vector            6 ; Coordinates:   0.100000001      0.699999988       1.00000000    
  
 ----------------------------------------------------------------
 Element          21 ; Center Coordinates:   0.100000001      0.900000036      0.100000001    
  
 Scalar            1 ; Coordinates:   0.100000001      0.900000036      0.100000001    
 Scalar            2 ; Coordinates:    0.00000000       1.00000000       0.00000000    
 Scalar            3 ; Coordinates:    0.00000000       1.00000000      0.100000001    
 Scalar            4 ; Coordinates:    0.00000000      0.900000036       0.00000000    
 Scalar            5 ; Coordinates:   0.100000001       1.00000000       0.00000000    
 Scalar            6 ; Coordinates:    0.00000000      0.900000036      0.100000001    
 Scalar            7 ; Coordinates:   0.100000001       1.00000000      0.100000001    
 Scalar            8 ; Coordinates:   0.100000001      0.900000036       0.00000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.900000036      0.100000001    
 Vector            2 ; Coordinates:   0.200000003      0.900000036      0.100000001    
 Vector            3 ; Coordinates:   0.100000001      0.800000012      0.100000001    
 Vector            4 ; Coordinates:   0.100000001       1.00000000      0.100000001    
 Vector            5 ; Coordinates:   0.100000001      0.900000036       0.00000000    
 Vector            6 ; Coordinates:   0.100000001      0.900000036      0.200000003    
  
 ----------------------------------------------------------------
 Element          22 ; Center Coordinates:   0.100000001      0.900000036      0.300000012    
  
 Scalar            1 ; Coordinates:   0.100000001      0.900000036      0.300000012    
 Scalar            2 ; Coordinates:    0.00000000       1.00000000      0.300000012    
 Scalar            3 ; Coordinates:    0.00000000      0.900000036      0.300000012    
 Scalar            4 ; Coordinates:   0.100000001       1.00000000      0.300000012    
  
 Vector            1 ; Coordinates:    0.00000000      0.900000036      0.300000012    
 Vector            2 ; Coordinates:   0.200000003      0.900000036      0.300000012    
 Vector            3 ; Coordinates:   0.100000001      0.800000012      0.300000012    
 Vector            4 ; Coordinates:   0.100000001       1.00000000      0.300000012    
 Vector            5 ; Coordinates:   0.100000001      0.900000036      0.200000003    
 Vector            6 ; Coordinates:   0.100000001      0.900000036      0.400000006    
  
 ----------------------------------------------------------------
 Element          23 ; Center Coordinates:   0.100000001      0.900000036      0.500000000    
  
 Scalar            1 ; Coordinates:   0.100000001      0.900000036      0.500000000    
 Scalar            2 ; Coordinates:    0.00000000       1.00000000      0.500000000    
 Scalar            3 ; Coordinates:    0.00000000      0.900000036      0.500000000    
 Scalar            4 ; Coordinates:   0.100000001       1.00000000      0.500000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.900000036      0.500000000    
 Vector            2 ; Coordinates:   0.200000003      0.900000036      0.500000000    
 Vector            3 ; Coordinates:   0.100000001      0.800000012      0.500000000    
 Vector            4 ; Coordinates:   0.100000001       1.00000000      0.500000000    
 Vector            5 ; Coordinates:   0.100000001      0.900000036      0.400000006    
 Vector            6 ; Coordinates:   0.100000001      0.900000036      0.600000024    
  
 ----------------------------------------------------------------
 Element          24 ; Center Coordinates:   0.100000001      0.900000036      0.699999988    
  
 Scalar            1 ; Coordinates:   0.100000001      0.900000036      0.699999988    
 Scalar            2 ; Coordinates:    0.00000000       1.00000000      0.699999988    
 Scalar            3 ; Coordinates:    0.00000000      0.900000036      0.699999988    
 Scalar            4 ; Coordinates:   0.100000001       1.00000000      0.699999988    
  
 Vector            1 ; Coordinates:    0.00000000      0.900000036      0.699999988    
 Vector            2 ; Coordinates:   0.200000003      0.900000036      0.699999988    
 Vector            3 ; Coordinates:   0.100000001      0.800000012      0.699999988    
 Vector            4 ; Coordinates:   0.100000001       1.00000000      0.699999988    
 Vector            5 ; Coordinates:   0.100000001      0.900000036      0.600000024    
 Vector            6 ; Coordinates:   0.100000001      0.900000036      0.800000012    
  
 ----------------------------------------------------------------
 Element          25 ; Center Coordinates:   0.100000001      0.900000036      0.900000036    
  
 Scalar            1 ; Coordinates:   0.100000001      0.900000036      0.900000036    
 Scalar            2 ; Coordinates:    0.00000000       1.00000000       1.00000000    
 Scalar            3 ; Coordinates:    0.00000000       1.00000000      0.900000036    
 Scalar            4 ; Coordinates:    0.00000000      0.900000036       1.00000000    
 Scalar            5 ; Coordinates:   0.100000001       1.00000000       1.00000000    
 Scalar            6 ; Coordinates:    0.00000000      0.900000036      0.900000036    
 Scalar            7 ; Coordinates:   0.100000001       1.00000000      0.900000036    
 Scalar            8 ; Coordinates:   0.100000001      0.900000036       0.00000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.900000036      0.900000036    
 Vector            2 ; Coordinates:   0.200000003      0.900000036      0.900000036    
 Vector            3 ; Coordinates:   0.100000001      0.800000012      0.900000036    
 Vector            4 ; Coordinates:   0.100000001       1.00000000      0.900000036    
 Vector            5 ; Coordinates:   0.100000001      0.900000036      0.800000012    
 Vector            6 ; Coordinates:   0.100000001      0.900000036       1.00000000    
  
 ----------------------------------------------------------------
 Element          26 ; Center Coordinates:   0.300000012      0.100000001      0.100000001    
  
 Scalar            1 ; Coordinates:   0.300000012      0.100000001      0.100000001    
 Scalar            2 ; Coordinates:   0.300000012       0.00000000       0.00000000    
 Scalar            3 ; Coordinates:   0.300000012       0.00000000      0.100000001    
 Scalar            4 ; Coordinates:   0.300000012      0.100000001       0.00000000    
  
 Vector            1 ; Coordinates:   0.200000003      0.100000001      0.100000001    
 Vector            2 ; Coordinates:   0.400000006      0.100000001      0.100000001    
 Vector            3 ; Coordinates:   0.300000012       0.00000000      0.100000001    
 Vector            4 ; Coordinates:   0.300000012      0.200000003      0.100000001    
 Vector            5 ; Coordinates:   0.300000012      0.100000001       0.00000000    
 Vector            6 ; Coordinates:   0.300000012      0.100000001      0.200000003    
  
 ----------------------------------------------------------------
 Element          27 ; Center Coordinates:   0.300000012      0.100000001      0.300000012    
  
 Scalar            1 ; Coordinates:   0.300000012      0.100000001      0.300000012    
 Scalar            2 ; Coordinates:   0.300000012       0.00000000      0.300000012    
  
 Vector            1 ; Coordinates:   0.200000003      0.100000001      0.300000012    
 Vector            2 ; Coordinates:   0.400000006      0.100000001      0.300000012    
 Vector            3 ; Coordinates:   0.300000012       0.00000000      0.300000012    
 Vector            4 ; Coordinates:   0.300000012      0.200000003      0.300000012    
 Vector            5 ; Coordinates:   0.300000012      0.100000001      0.200000003    
 Vector            6 ; Coordinates:   0.300000012      0.100000001      0.400000006    
  
 ----------------------------------------------------------------
 Element          28 ; Center Coordinates:   0.300000012      0.100000001      0.500000000    
  
 Scalar            1 ; Coordinates:   0.300000012      0.100000001      0.500000000    
 Scalar            2 ; Coordinates:   0.300000012       0.00000000      0.500000000    
  
 Vector            1 ; Coordinates:   0.200000003      0.100000001      0.500000000    
 Vector            2 ; Coordinates:   0.400000006      0.100000001      0.500000000    
 Vector            3 ; Coordinates:   0.300000012       0.00000000      0.500000000    
 Vector            4 ; Coordinates:   0.300000012      0.200000003      0.500000000    
 Vector            5 ; Coordinates:   0.300000012      0.100000001      0.400000006    
 Vector            6 ; Coordinates:   0.300000012      0.100000001      0.600000024    
  
 ----------------------------------------------------------------
 Element          29 ; Center Coordinates:   0.300000012      0.100000001      0.699999988    
  
 Scalar            1 ; Coordinates:   0.300000012      0.100000001      0.699999988    
 Scalar            2 ; Coordinates:   0.300000012       0.00000000      0.699999988    
  
 Vector            1 ; Coordinates:   0.200000003      0.100000001      0.699999988    
 Vector            2 ; Coordinates:   0.400000006      0.100000001      0.699999988    
 Vector            3 ; Coordinates:   0.300000012       0.00000000      0.699999988    
 Vector            4 ; Coordinates:   0.300000012      0.200000003      0.699999988    
 Vector            5 ; Coordinates:   0.300000012      0.100000001      0.600000024    
 Vector            6 ; Coordinates:   0.300000012      0.100000001      0.800000012    
  
 ----------------------------------------------------------------
 Element          30 ; Center Coordinates:   0.300000012      0.100000001      0.900000036    
  
 Scalar            1 ; Coordinates:   0.300000012      0.100000001      0.900000036    
 Scalar            2 ; Coordinates:   0.300000012       0.00000000       1.00000000    
 Scalar            3 ; Coordinates:   0.300000012       0.00000000      0.900000036    
 Scalar            4 ; Coordinates:   0.300000012      0.100000001       0.00000000    
  
 Vector            1 ; Coordinates:   0.200000003      0.100000001      0.900000036    
 Vector            2 ; Coordinates:   0.400000006      0.100000001      0.900000036    
 Vector            3 ; Coordinates:   0.300000012       0.00000000      0.900000036    
 Vector            4 ; Coordinates:   0.300000012      0.200000003      0.900000036    
 Vector            5 ; Coordinates:   0.300000012      0.100000001      0.800000012    
 Vector            6 ; Coordinates:   0.300000012      0.100000001       1.00000000    
  
 ----------------------------------------------------------------
 Element          31 ; Center Coordinates:   0.300000012      0.300000012      0.100000001    
  
 Scalar            1 ; Coordinates:   0.300000012      0.300000012      0.100000001    
 Scalar            2 ; Coordinates:   0.300000012      0.300000012       0.00000000    
  
 Vector            1 ; Coordinates:   0.200000003      0.300000012      0.100000001    
 Vector            2 ; Coordinates:   0.400000006      0.300000012      0.100000001    
 Vector            3 ; Coordinates:   0.300000012      0.200000003      0.100000001    
 Vector            4 ; Coordinates:   0.300000012      0.400000006      0.100000001    
 Vector            5 ; Coordinates:   0.300000012      0.300000012       0.00000000    
 Vector            6 ; Coordinates:   0.300000012      0.300000012      0.200000003    
  
 ----------------------------------------------------------------
 Element          32 ; Center Coordinates:   0.300000012      0.300000012      0.300000012    
  
 Scalar            1 ; Coordinates:   0.300000012      0.300000012      0.300000012    
  
 Vector            1 ; Coordinates:   0.200000003      0.300000012      0.300000012    
 Vector            2 ; Coordinates:   0.400000006      0.300000012      0.300000012    
 Vector            3 ; Coordinates:   0.300000012      0.200000003      0.300000012    
 Vector            4 ; Coordinates:   0.300000012      0.400000006      0.300000012    
 Vector            5 ; Coordinates:   0.300000012      0.300000012      0.200000003    
 Vector            6 ; Coordinates:   0.300000012      0.300000012      0.400000006    
  
 ----------------------------------------------------------------
 Element          33 ; Center Coordinates:   0.300000012      0.300000012      0.500000000    
  
 Scalar            1 ; Coordinates:   0.300000012      0.300000012      0.500000000    
  
 Vector            1 ; Coordinates:   0.200000003      0.300000012      0.500000000    
 Vector            2 ; Coordinates:   0.400000006      0.300000012      0.500000000    
 Vector            3 ; Coordinates:   0.300000012      0.200000003      0.500000000    
 Vector            4 ; Coordinates:   0.300000012      0.400000006      0.500000000    
 Vector            5 ; Coordinates:   0.300000012      0.300000012      0.400000006    
 Vector            6 ; Coordinates:   0.300000012      0.300000012      0.600000024    
  
 ----------------------------------------------------------------
 Element          34 ; Center Coordinates:   0.300000012      0.300000012      0.699999988    
  
 Scalar            1 ; Coordinates:   0.300000012      0.300000012      0.699999988    
  
