 Mesh
 Dimension:            3
 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            3 ; Ny =            3 ; Nz =            3
 Nodes: 
 Node           75 ; X:   0.500000000     ; Y:    1.00000000     ; Z:    1.00000000    
 Node           76 ; X:   0.833333373     ; Y:    0.00000000     ; Z:    0.00000000    
 Node           77 ; X:   0.833333373     ; Y:    0.00000000     ; Z:   0.166666672    
 Node           78 ; X:   0.833333373     ; Y:    0.00000000     ; Z:   0.500000000    
 Node           79 ; X:   0.833333373     ; Y:    0.00000000     ; Z:   0.833333373    
 Node           80 ; X:   0.833333373     ; Y:    0.00000000     ; Z:    1.00000000    
 Node           81 ; X:   0.833333373     ; Y:   0.166666672     ; Z:    0.00000000    
 Node           82 ; X:   0.833333373     ; Y:   0.166666672     ; Z:   0.166666672    
 Node           83 ; X:   0.833333373     ; Y:   0.166666672     ; Z:   0.500000000    
 Node           84 ; X:   0.833333373     ; Y:   0.166666672     ; Z:   0.833333373    
 Node           85 ; X:   0.833333373     ; Y:   0.166666672     ; Z:    1.00000000    
 Node           86 ; X:   0.833333373     ; Y:   0.500000000     ; Z:    0.00000000    
 Node           87 ; X:   0.833333373     ; Y:   0.500000000     ; Z:   0.166666672    
 Node           88 ; X:   0.833333373     ; Y:   0.500000000     ; Z:   0.500000000    
 Node           89 ; X:   0.833333373     ; Y:   0.500000000     ; Z:   0.833333373    
 Node           90 ; X:   0.833333373     ; Y:   0.500000000     ; Z:    1.00000000    
 Node           91 ; X:   0.833333373     ; Y:   0.833333373     ; Z:    0.00000000    
 Node           92 ; X:   0.833333373     ; Y:   0.833333373     ; Z:   0.166666672    
 Node           93 ; X:   0.833333373     ; Y:   0.833333373     ; Z:   0.500000000    
 Node           94 ; X:   0.833333373     ; Y:   0.833333373     ; Z:   0.833333373    
 Node           95 ; X:   0.833333373     ; Y:   0.833333373     ; Z:    1.00000000    
 Node           96 ; X:   0.833333373     ; Y:    1.00000000     ; Z:    0.00000000    
 Node           97 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.166666672    
 Node           98 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.500000000    
 Node           99 ; X:   0.833333373     ; Y:    1.00000000     ; Z:   0.833333373    
 Node          100 ; X:   0.833333373     ; Y:    1.00000000     ; Z:    1.00000000    
 Node          101 ; X:    1.00000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Node          102 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.166666672    
 Node          103 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.500000000    
 Node          104 ; X:    1.00000000     ; Y:    0.00000000     ; Z:   0.833333373    
 Node          105 ; X:    1.00000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Node          106 ; X:    1.00000000     ; Y:   0.166666672     ; Z:    0.00000000    
 Node          107 ; X:    1.00000000     ; Y:   0.166666672     ; Z:   0.166666672    
 Node          108 ; X:    1.00000000     ; Y:   0.166666672     ; Z:   0.500000000    
 Node          109 ; X:    1.00000000     ; Y:   0.166666672     ; Z:   0.833333373    
 Node          110 ; X:    1.00000000     ; Y:   0.166666672     ; Z:    1.00000000    
 Node          111 ; X:    1.00000000     ; Y:   0.500000000     ; Z:    0.00000000    
 Node          112 ; X:    1.00000000     ; Y:   0.500000000     ; Z:   0.166666672    
 Node          113 ; X:    1.00000000     ; Y:   0.500000000     ; Z:   0.500000000    
 Node          114 ; X:    1.00000000     ; Y:   0.500000000     ; Z:   0.833333373    
 Node          115 ; X:    1.00000000     ; Y:   0.500000000     ; Z:    1.00000000    
 Node          116 ; X:    1.00000000     ; Y:   0.833333373     ; Z:    0.00000000    
 Node          117 ; X:    1.00000000     ; Y:   0.833333373     ; Z:   0.166666672    
 Node          118 ; X:    1.00000000     ; Y:   0.833333373     ; Z:   0.500000000    
 Node          119 ; X:    1.00000000     ; Y:   0.833333373     ; Z:   0.833333373    
 Node          120 ; X:    1.00000000     ; Y:   0.833333373     ; Z:    1.00000000    
 Node          121 ; X:    1.00000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Node          122 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.166666672    
 Node          123 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.500000000    
 Node          124 ; X:    1.00000000     ; Y:    1.00000000     ; Z:   0.833333373    
 Node          125 ; X:    1.00000000     ; Y:    1.00000000     ; Z:    1.00000000    
 ------------------------------------------------------------------
 Vectors U
 Vector            1 ; X:    0.00000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector            2 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.166666672    
 Vector            3 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.500000000    
 Vector            4 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.833333373    
 Vector            5 ; X:    0.00000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector            6 ; X:    0.00000000     ; Y:   0.166666672     ; Z:    0.00000000    
 Vector            7 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.166666672    
 Vector            8 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.500000000    
 Vector            9 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.833333373    
 Vector           10 ; X:    0.00000000     ; Y:   0.166666672     ; Z:    1.00000000    
 Vector           11 ; X:    0.00000000     ; Y:   0.500000000     ; Z:    0.00000000    
 Vector           12 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.166666672    
 Vector           13 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.500000000    
 Vector           14 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.833333373    
 Vector           15 ; X:    0.00000000     ; Y:   0.500000000     ; Z:    1.00000000    
 Vector           16 ; X:    0.00000000     ; Y:   0.833333373     ; Z:    0.00000000    
 Vector           17 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.166666672    
 Vector           18 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.500000000    
 Vector           19 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.833333373    
 Vector           20 ; X:    0.00000000     ; Y:   0.833333373     ; Z:    1.00000000    
 Vector           21 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           22 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.166666672    
 Vector           23 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.500000000    
 Vector           24 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.833333373    
 Vector           25 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    1.00000000    
 Vector           26 ; X:   0.333333343     ; Y:    0.00000000     ; Z:    0.00000000    
 Vector           27 ; X:   0.333333343     ; Y:    0.00000000     ; Z:   0.166666672    
 Vector           28 ; X:   0.333333343     ; Y:    0.00000000     ; Z:   0.500000000    
 Vector           29 ; X:   0.333333343     ; Y:    0.00000000     ; Z:   0.833333373    
 Vector           30 ; X:   0.333333343     ; Y:    0.00000000     ; Z:    1.00000000    
 Vector           31 ; X:   0.333333343     ; Y:   0.166666672     ; Z:    0.00000000    
 Vector           32 ; X:   0.333333343     ; Y:   0.166666672     ; Z:   0.166666672    
 Vector           33 ; X:   0.333333343     ; Y:   0.166666672     ; Z:   0.500000000    
 Vector           34 ; X:   0.333333343     ; Y:   0.166666672     ; Z:   0.833333373    
 Vector           35 ; X:   0.333333343     ; Y:   0.166666672     ; Z:    1.00000000    
 Vector           36 ; X:   0.333333343     ; Y:   0.500000000     ; Z:    0.00000000    
 Vector           37 ; X:   0.333333343     ; Y:   0.500000000     ; Z:   0.166666672    
 Vector           38 ; X:   0.333333343     ; Y:   0.500000000     ; Z:   0.500000000    
 Vector           39 ; X:   0.333333343     ; Y:   0.500000000     ; Z:   0.833333373    
 Vector           40 ; X:   0.333333343     ; Y:   0.500000000     ; Z:    1.00000000    
 Vector           41 ; X:   0.333333343     ; Y:   0.833333373     ; Z:    0.00000000    
 Vector           42 ; X:   0.333333343     ; Y:   0.833333373     ; Z:   0.166666672    
 Vector           43 ; X:   0.333333343     ; Y:   0.833333373     ; Z:   0.500000000    
 Vector           44 ; X:   0.333333343     ; Y:   0.833333373     ; Z:   0.833333373    
 Vector           45 ; X:   0.333333343     ; Y:   0.833333373     ; Z:    1.00000000    
 Vector           46 ; X:   0.333333343     ; Y:    1.00000000     ; Z:    0.00000000    
 Vector           47 ; X:   0.333333343     ; Y:    1.00000000     ; Z:   0.166666672    
 Vector           48 ; X:   0.333333343     ; Y:    1.00000000     ; Z:   0.500000000    
