 x coord, y coord, z coord, temperature
   0.00000000     ,   0.00000000     ,   0.00000000     ,   100.000000    
   0.00000000     ,   0.00000000     ,   5.00000007E-02 ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.150000006     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.250000000     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.349999994     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.450000018     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.550000012     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.650000036     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.750000000     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.850000024     ,   50.0000000    
   0.00000000     ,   0.00000000     ,  0.949999988     ,   50.0000000    
   0.00000000     ,   0.00000000     ,   1.00000000     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,   0.00000000     ,   100.000000    
   0.00000000     ,   5.00000007E-02 ,   5.00000007E-02 ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.150000006     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.250000000     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.349999994     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.450000018     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.550000012     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.650000036     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.750000000     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.850000024     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,  0.949999988     ,   50.0000000    
   0.00000000     ,   5.00000007E-02 ,   1.00000000     ,   50.0000000    
   0.00000000     ,  0.150000006     ,   0.00000000     ,   100.000000    
   0.00000000     ,  0.150000006     ,   5.00000007E-02 ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.150000006     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.250000000     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.349999994     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.450000018     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.550000012     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.650000036     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.750000000     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.850000024     ,   50.0000000    
   0.00000000     ,  0.150000006     ,  0.949999988     ,   50.0000000    
   0.00000000     ,  0.150000006     ,   1.00000000     ,   50.0000000    
